,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado
124,1,34,blancas,5k2/5p2/1p2p1p1/3b4/P7/2N1P3/1rB3P1/2R3K1 b - - 0 34,fxe3,"PovScore(Cp(-300), BLACK)",d5c4,0
125,1,34,negras,5k2/5p2/1pb1p1p1/8/P7/2N1P3/1rB3P1/2R3K1 w - - 1 35,Bc6,"PovScore(Cp(+321), WHITE)",c2e4,0
126,1,35,blancas,5k2/5p2/1pb1p1p1/8/P3B3/2N1P3/1r4P1/2R3K1 b - - 2 35,Be4,"PovScore(Cp(-341), BLACK)",c6e8,0
127,1,35,negras,5k2/3b1p2/1p2p1p1/8/P3B3/2N1P3/1r4P1/2R3K1 w - - 3 36,Bd7,"PovScore(Cp(+328), WHITE)",c1b1,0
128,1,36,blancas,5k2/3b1p2/1p2p1p1/8/P7/2NBP3/1r4P1/2R3K1 b - - 4 36,Bd3,"PovScore(Cp(-324), BLACK)",b2b3,0
129,1,36,negras,5k2/5p2/1pb1p1p1/8/P7/2NBP3/1r4P1/2R3K1 w - - 5 37,Bc6,"PovScore(Cp(+305), WHITE)",d3e4,0
130,1,37,blancas,5k2/5p2/1pb1p1p1/8/P7/2NBP3/1rR3P1/6K1 b - - 6 37,Rc2,"PovScore(Cp(-368), BLACK)",b2b3,0
131,1,37,negras,5k2/5p2/1pb1p1p1/8/Pr6/2NBP3/2R3P1/6K1 w - - 7 38,Rb4,"PovScore(Cp(+325), WHITE)",c2a2,0
132,1,38,blancas,5k2/5p2/1pb1p1p1/1B6/Pr6/2N1P3/2R3P1/6K1 b - - 8 38,Bb5,"PovScore(Cp(-362), BLACK)",c6b5,0
133,1,38,negras,5k2/5p2/1p2p1p1/1b6/Pr6/2N1P3/2R3P1/6K1 w - - 0 39,Bxb5,"PovScore(Cp(+356), WHITE)",a4b5,0
134,1,39,blancas,5k2/5p2/1p2p1p1/1P6/1r6/2N1P3/2R3P1/6K1 b - - 0 39,axb5,"PovScore(Cp(-353), BLACK)",b4b3,0
135,1,39,negras,5k2/5p2/1p2p1p1/1P6/2r5/2N1P3/2R3P1/6K1 w - - 1 40,Rc4,"PovScore(Cp(+373), WHITE)",g2g3,0
136,1,40,blancas,5k2/5p2/1p2p1p1/1P6/2r5/2N1P3/2R2KP1/8 b - - 2 40,Kf2,"PovScore(Cp(-389), BLACK)",c4c8,0
137,1,40,negras,8/4kp2/1p2p1p1/1P6/2r5/2N1P3/2R2KP1/8 w - - 3 41,Ke7,"PovScore(Cp(+402), WHITE)",g2g3,0
138,1,41,blancas,8/4kp2/1p2p1p1/1P6/2r5/2N1P3/2R1K1P1/8 b - - 4 41,Ke2,"PovScore(Cp(-400), BLACK)",c4c8,0
139,1,41,negras,8/4k3/1p2p1p1/1P3p2/2r5/2N1P3/2R1K1P1/8 w - - 0 42,f5,"PovScore(Cp(+431), WHITE)",e2d3,0
